rank,agent_id,display_name,points,points_per_episode,episodes,wins,draws,losses,win_rate,draw_rate,loss_rate,avg_reward,std_reward,avg_reward_margin,avg_episode_length,agent0_win_rate,agent1_win_rate,left_win_rate,right_win_rate
1,tp_mixed_a0_morph,Mixed two-player agent0 morphology optimized,1123,1.6042857142857143,700,271,310,119,0.3871428571428571,0.44285714285714284,0.17,737.0894954676336,2289.8392125997534,925.7458968922706,364.6957142857143,0.5428571428571428,0.23142857142857143,0.415041782729805,0.35777126099706746
2,tp_morph_a0,Two-player optimized morphology agent0,1103,1.5757142857142856,700,277,272,151,0.39571428571428574,0.38857142857142857,0.21571428571428572,814.9361702732955,2385.164473902948,961.6279030203033,342.31714285714287,0.5914285714285714,0.2,0.4257142857142857,0.3657142857142857
3,sp_morph,Self-play optimized morphology,1075,1.5357142857142858,700,288,211,201,0.4114285714285714,0.30142857142857143,0.28714285714285714,898.2389348507837,2453.268127810968,831.65882308419,321.49857142857144,0.5942857142857143,0.22857142857142856,0.38953488372093026,0.43258426966292135
4,tp_morph_a1,Two-player optimized morphology agent1,1041,1.487142857142857,700,226,363,111,0.32285714285714284,0.5185714285714286,0.15857142857142856,132.09730165252503,2032.5745465958128,242.54963029651972,381.7157142857143,0.26571428571428574,0.38,0.27507163323782235,0.37037037037037035
5,sp_fixed,Self-play fixed morphology,945,1.35,700,221,282,197,0.3157142857142857,0.40285714285714286,0.2814285714285714,424.92640816676374,2192.2090114829407,283.6343052544117,345.9971428571429,0.40285714285714286,0.22857142857142856,0.31547619047619047,0.3159340659340659
6,tp_mixed_a1_fixed,Mixed two-player agent1 fixed morphology,894,1.2771428571428571,700,163,405,132,0.23285714285714285,0.5785714285714286,0.18857142857142858,-31.414099658457083,1839.1182626355483,-48.86827771616457,399.2257142857143,0.24285714285714285,0.22285714285714286,0.20461095100864554,0.26062322946175637
7,tp_fixed_a0,Two-player fixed morphology agent0,776,1.1085714285714285,700,176,248,276,0.25142857142857145,0.35428571428571426,0.3942857142857143,111.77025038545034,2248.7391317342676,-453.0883631850755,335.2242857142857,0.3485714285714286,0.15428571428571428,0.25806451612903225,0.24512534818941503
8,tp_fixed_a1,Two-player fixed morphology agent1,341,0.48714285714285716,700,76,113,511,0.10857142857142857,0.16142857142857142,0.73,-931.3926049603867,1602.1002257529883,-2743.2599176464614,277.19428571428574,0.12,0.09714285714285714,0.10427807486631016,0.11349693251533742
